ID Cliente,Data Venda,ID Produto,Preço Produto
10,28/08/2023,99,40.03
182,27/04/2023,32,45.94
142,11/07/2023,92,98.66
129,26/02/2023,32,873.28
46,19/12/2023,178,452.88
98,27/12/2023,143,831.46
20,09/09/2023,65,109.97
46,14/03/2024,97,22.24
82,08/03/2024,64,459.72
181,15/10/2023,21,247.7
123,08/02/2023,97,116.94
196,10/01/2024,33,997.31
42,21/12/2023,75,410.06
55,02/04/2024,87,520.15
103,07/02/2024,116,21.28
189,23/03/2024,97,282.44
192,21/03/2023,40,957.47
156,18/08/2023,97,49.39
68,20/04/2023,11,527.18
106,09/07/2023,109,88.46
34,10/04/2024,17,250.58
67,02/08/2023,65,352.53
106,06/03/2024,87,585.82
45,05/05/2023,80,293.55
78,11/04/2024,20,993.48
58,01/03/2024,87,803.66
79,21/01/2023,97,138.89
71,11/05/2023,8,62.82
71,24/09/2023,65,57.79
64,21/01/2024,29,55.26
63,02/02/2023,174,402.97
45,12/01/2023,36,57.18
45,10/03/2024,87,795.23
123,24/10/2023,113,282.35
99,07/02/2024,64,213.46
41,08/03/2024,66,163.92
81,30/01/2023,66,824.96
45,25/09/2023,65,386.76
1,07/11/2023,66,412.77
98,20/04/2024,64,771.13
104,04/08/2023,163,906.55
75,15/08/2023,97,661.22
78,21/12/2023,149,479.81
112,24/03/2024,32,186.85
88,04/03/2023,64,316.23
105,08/01/2023,23,369.71
88,17/01/2024,97,567.29
45,15/01/2023,65,406.82
88,24/03/2023,66,952.08
158,13/03/2023,181,368.43
177,09/08/2023,87,539.51
89,12/08/2023,99,923.1
67,05/11/2023,87,98.78
75,08/05/2023,97,905.86
77,06/05/2023,115,243.5
34,02/01/2023,66,371.6
195,30/11/2023,66,543.96
165,04/08/2023,66,264.63
14,31/01/2023,32,500.83
45,08/03/2024,65,561.88
66,20/10/2023,83,986.28
28,02/10/2023,185,253.8
132,04/07/2023,142,366.54
35,16/03/2024,191,649.0
59,14/09/2023,4,571.56
131,21/08/2023,32,454.62
61,28/08/2023,66,150.78
88,18/01/2024,116,710.73
14,02/06/2023,43,516.63
129,10/02/2024,174,688.01
110,25/10/2023,100,321.95
68,08/04/2024,64,442.2
64,27/08/2023,57,785.8
11,07/01/2024,50,320.95
78,10/12/2023,82,589.52
45,25/05/2023,46,255.6
104,07/09/2023,64,715.78
45,12/02/2024,87,355.19
140,06/07/2023,152,436.16
21,03/03/2024,66,962.99
74,24/11/2023,48,631.18
66,09/12/2023,66,300.44
159,21/02/2023,66,483.55
90,30/09/2023,194,478.62
125,10/06/2023,87,490.21
51,25/12/2023,39,636.51
78,24/02/2023,87,246.48
68,17/12/2023,48,677.54
98,11/03/2023,41,746.9
94,18/01/2023,131,977.16
68,06/11/2023,62,588.98
106,22/06/2023,97,202.64
98,26/08/2023,27,556.52
116,03/03/2023,56,971.56
28,26/07/2023,114,143.64
195,13/09/2023,9,155.75
67,03/02/2024,66,587.34
45,29/12/2023,172,831.29
106,17/02/2024,62,191.14
190,23/09/2023,197,372.07
154,08/12/2023,93,113.17
98,19/09/2023,32,628.74
107,22/07/2023,97,466.58
35,04/12/2023,178,443.33
67,14/03/2023,87,749.46
106,16/03/2024,87,461.45
98,14/11/2023,66,467.21
65,02/07/2023,64,350.11
46,05/06/2023,66,461.88
45,29/01/2024,71,95.96
67,27/01/2024,66,638.12
124,07/12/2023,87,437.05
125,04/02/2023,32,40.82
198,11/09/2023,139,551.29
118,21/02/2024,162,313.38
104,14/01/2023,107,278.6
64,21/04/2023,66,395.03
123,19/03/2024,157,997.11
22,01/07/2023,65,150.38
135,14/09/2023,126,544.79
10,21/02/2024,64,908.77
99,20/05/2023,66,745.26
44,23/01/2023,66,714.72
65,17/09/2023,64,430.22
98,31/05/2023,152,728.7
106,12/04/2023,87,484.27
98,16/12/2023,64,918.63
112,31/12/2023,64,910.82
75,30/03/2023,66,983.16
94,31/12/2023,87,257.5
104,28/03/2024,97,982.76
98,24/07/2023,12,641.77
36,15/01/2023,64,411.63
189,05/04/2023,31,157.62
38,31/01/2024,27,609.19
113,04/04/2024,87,795.74
59,06/01/2023,26,748.57
10,08/09/2023,65,984.55
98,24/05/2023,97,771.87
34,03/07/2023,87,706.4
105,12/10/2023,66,754.35
73,18/09/2023,66,715.07
45,28/01/2023,97,709.4
121,13/11/2023,65,565.52
19,13/12/2023,91,704.85
88,01/01/2024,97,438.73
106,24/06/2023,74,907.12
36,10/08/2023,111,983.52
64,24/03/2024,31,462.15
67,18/01/2023,32,425.63
169,24/11/2023,32,996.6
65,23/05/2023,173,602.5
75,03/01/2023,169,242.5
44,11/07/2023,70,905.89
179,02/08/2023,87,295.46
88,28/01/2023,66,971.78
5,08/04/2024,97,442.28
176,15/04/2023,32,877.77
181,19/02/2023,128,800.24
119,17/01/2024,64,248.98
50,01/04/2024,65,258.79
150,29/03/2024,49,13.65
45,20/01/2024,64,551.17
104,20/03/2024,65,149.53
106,19/06/2023,103,554.51
105,17/09/2023,18,649.42
98,25/02/2023,190,271.2
179,14/10/2023,53,759.5
110,11/12/2023,66,426.3
37,23/09/2023,152,625.76
166,20/03/2024,97,540.73
122,12/05/2023,48,75.03
128,02/11/2023,103,189.65
104,20/12/2023,32,511.21
101,19/07/2023,117,927.2
16,01/11/2023,177,964.06
156,17/12/2023,97,890.38
119,01/04/2023,105,69.63
106,22/12/2023,189,953.98
198,09/04/2023,50,490.47
53,26/05/2023,66,292.05
108,23/04/2023,26,991.38
105,12/05/2023,66,964.53
105,26/03/2024,65,565.17
42,06/04/2024,66,677.24
35,21/03/2023,21,692.63
54,15/01/2024,78,158.44
22,02/02/2024,124,475.47
42,04/09/2023,65,786.32
45,18/01/2023,66,550.08
101,12/01/2023,87,297.57
131,06/06/2023,64,731.42
67,18/07/2023,162,753.44
158,03/09/2023,118,533.3
88,17/09/2023,11,201.92
197,29/04/2024,87,164.55
86,04/02/2023,146,979.52
150,30/03/2023,65,129.25
45,30/08/2023,191,357.43
141,11/04/2023,66,482.83
192,03/10/2023,52,685.13
78,03/02/2024,65,661.94
78,04/12/2023,97,702.92
144,12/07/2023,32,227.22
98,08/03/2023,65,352.89
68,28/03/2023,32,407.86
82,17/04/2024,87,619.55
68,14/08/2023,65,648.66
75,13/06/2023,164,369.29
199,04/03/2024,32,125.28
157,13/08/2023,65,178.97
30,07/01/2024,66,170.85
45,09/02/2023,175,244.77
34,08/01/2024,196,65.32
77,10/08/2023,105,736.47
123,10/06/2023,99,874.62
20,10/10/2023,97,965.82
88,30/07/2023,87,202.97
34,14/09/2023,97,757.74
139,08/09/2023,21,941.99
112,24/04/2023,65,671.79
75,05/04/2023,140,151.71
105,18/03/2023,87,743.44
191,04/03/2023,66,388.94
99,20/04/2024,8,519.83
68,12/11/2023,192,893.42
195,13/04/2023,106,554.54
98,08/03/2023,20,606.23
35,30/08/2023,144,41.56
131,13/03/2023,66,35.68
68,22/10/2023,53,643.17
181,14/01/2024,65,506.27
34,12/04/2024,64,633.07
35,23/07/2023,92,748.08
94,11/06/2023,5,655.18
108,28/06/2023,64,842.85
169,23/03/2024,116,896.73
91,03/05/2023,71,223.74
104,20/11/2023,65,933.35
71,11/04/2024,66,800.05
156,03/08/2023,65,111.57
91,14/03/2023,123,875.0
143,06/02/2024,10,208.44
104,28/12/2023,97,996.2
49,26/06/2023,21,153.0
147,27/02/2023,64,981.85
86,08/03/2023,85,63.5
113,20/08/2023,64,563.56
106,02/02/2023,13,318.44
155,02/04/2023,64,33.31
65,13/02/2023,189,832.54
48,14/08/2023,45,613.42
64,26/08/2023,65,106.96
198,09/08/2023,21,749.74
34,06/07/2023,124,904.5
60,12/12/2023,47,627.43
34,01/03/2023,141,459.08
75,03/03/2024,32,939.67
86,24/03/2023,73,75.63
34,05/02/2024,87,592.13
171,19/03/2024,66,478.49
78,06/01/2023,163,178.09
106,26/09/2023,3,108.1
106,18/11/2023,132,897.51
137,26/01/2023,19,226.03
99,11/09/2023,87,166.77
68,13/04/2024,66,757.91
45,17/03/2023,11,456.85
46,31/08/2023,40,143.93
64,15/01/2023,97,941.35
65,18/10/2023,90,246.05
154,05/11/2023,171,228.79
23,13/05/2023,59,601.55
105,01/04/2024,66,847.02
139,19/04/2023,65,680.25
75,23/02/2023,116,651.96
45,18/06/2023,65,452.77
68,30/06/2023,30,471.29
132,15/03/2024,184,844.26
106,09/02/2024,97,574.63
65,02/04/2023,193,153.25
23,27/06/2023,154,45.88
78,22/12/2023,78,389.88
169,22/10/2023,107,729.02
98,02/06/2023,64,847.23
46,17/07/2023,104,598.23
45,08/04/2023,66,49.77
45,19/02/2023,65,531.66
68,27/07/2023,97,436.64
6,14/05/2023,74,91.6
75,29/06/2023,58,648.38
119,10/05/2023,186,678.3
98,03/12/2023,66,730.57
57,20/07/2023,124,930.83
36,07/04/2023,64,721.92
128,25/03/2024,87,139.05
67,21/04/2023,116,780.45
106,08/03/2024,32,739.74
37,11/05/2023,152,977.97
105,08/02/2023,7,362.0
82,02/04/2024,87,216.76
195,17/02/2023,157,983.53
46,31/10/2023,33,119.99
162,16/09/2023,10,632.59
64,05/06/2023,87,426.13
106,04/03/2024,32,435.54
61,14/08/2023,73,105.38
80,25/06/2023,87,335.97
138,20/01/2024,64,923.22
128,11/04/2024,177,41.46
35,01/02/2024,66,772.03
77,24/01/2024,131,888.11
26,04/08/2023,66,120.67
66,14/07/2023,32,628.76
133,17/02/2024,168,904.2
78,17/02/2024,46,633.87
64,15/10/2023,32,224.19
65,05/10/2023,158,753.55
88,13/08/2023,73,863.7
189,01/02/2023,156,997.1
167,25/05/2023,97,794.24
115,26/11/2023,32,330.43
99,28/09/2023,65,534.08
18,20/01/2023,31,390.15
106,16/07/2023,36,840.32
99,25/06/2023,97,727.53
106,18/01/2023,90,120.76
137,08/02/2023,65,588.3
32,14/03/2024,66,164.46
78,11/02/2024,90,872.63
174,13/11/2023,64,256.51
87,30/07/2023,64,417.04
75,22/07/2023,23,838.2
126,07/11/2023,104,512.93
140,28/05/2023,21,897.72
164,07/05/2023,66,476.7
56,20/01/2023,32,525.33
42,15/02/2023,103,631.87
45,23/01/2024,69,665.69
105,04/01/2024,87,124.37
45,13/10/2023,42,357.25
123,16/02/2023,97,882.57
13,30/01/2023,64,460.56
88,15/02/2024,98,740.37
35,15/03/2023,64,27.79
99,08/06/2023,32,257.93
166,21/03/2024,66,359.99
61,22/03/2023,24,680.36
67,08/11/2023,18,405.8
35,30/12/2023,30,211.59
35,14/10/2023,66,482.12
64,26/11/2023,87,660.87
